participant.id,osf.surprised,osf.upset,osf.angry,osf.jealous,osf.happy,osf.threatened,osf.relieved,osf.sad,ssf.surprised,ssf.upset,ssf.angry,ssf.jealous,ssf.happy,ssf.threatened,ssf.relieved,ssf.sad,rom.surprised,rom.upset,rom.angry,rom.jealous,rom.happy,rom.threatened,rom.relieved,rom.sad,age.participant,relationship.status.participant,gender,sexual.orientation.participant,age.friend,osf.closer.ssf,friendship.duration.wks,sexual.orientation.friend,comparison.attractive,romantic.attraction.tofriend,sexual.attraction.tofriend,single.or.dating,comp.osf.jealous,comp.ssf.jealous,comp.rom.jealous,comp.osf.angry.upset,comp.ssf.angry.upset,comp.rom.angry.upset,comp.rom.sex
1,2,2,1,3,3,1,3,1,1,1,1,3,3,1,2,1,2,1,1,1,2,1,2,1,21,1,2,4,21,2,100,1,3,3,1,1,2,2,1,1.5,1,1,2
2,4,1,1,1,3,1,2,1,1,1,1,1,3,1,1,1,4,1,1,1,3,1,2,1,20,1,2,2,19,2,364,2,3,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,4,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,5,1,2,1,20,2,2,2,20,2,130,2,3,1,1,1,1,1,1,1,1,1,1
5,2,1,1,1,4,1,2,1,1,1,1,1,4,1,4,1,3,1,1,1,3,2,2,1,18,1,1,2,18,2,5,2,5,5,5,1,1,1,1.5,1,1,1,5
6,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,2,1,1,18,1,1,2,18,2,2,2,5,4,4,1,1.5,1,1.5,1,1,1,4
7,3,1,1,1,2,1,1,2,4,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,19,1,1,2,18,2,8,2,6,3,5,1,1,1,1,1,1,1,4
8,4,4,4,4,1,5,1,2,1,1,1,2,4,2,1,1,3,4,4,4,2,4,1,2,19,4,1,2,19,2,100,2,6,6,6,2,4.5,2,4,4,1,4,6
9,1,2,1,3,2,4,1,2,1,1,1,3,3,2,1,1,4,2,2,1,2,2,1,2,20,1,1,2,19,2,80,2,7,2,6,1,3.5,2.5,1.5,1.5,1,2,4
10,1,1,1,1,4,1,3,1,2,2,2,1,4,1,3,1,2,1,1,1,4,1,3,1,19,1,2,2,19,2,100,2,5,1,1,1,1,1,1,1,2,1,1
11,2,1,1,2,2,1,1,1,2,1,1,2,3,2,3,2,4,3,3,NA,2,2,2,3,19,1,2,3,17,2,52,3,1,1,1,1,1.5,2,NA,1,1,3,1
12,3,1,1,1,3,1,1,1,2,1,1,1,3,1,1,1,2,3,2,2,3,2,1,3,19,2,2,2,19,2,52,2,3,2,2,1,1,1,2,1,1,2.5,2
14,2,2,2,3,3,2,2,2,1,1,1,2,4,2,1,1,4,3,2,3,3,4,2,4,19,1,2,2,20,2,78,2,5,3,3,1,2.5,2,3.5,2,1,2.5,3
15,1,1,1,2,4,1,3,2,1,1,1,1,3,2,1,2,5,2,2,1,2,1,1,2,19,3,2,2,20,2,208,2,1,1,1,2,1.5,1.5,1,1,1,2,1
17,1,1,1,1,4,1,5,1,3,1,1,1,4,1,4,1,2,1,1,1,3,1,3,1,18,3,1,3,18,2,5,4,4,1,1,2,1,1,1,1,1,1,1
18,3,1,1,1,5,1,1,1,3,1,1,1,5,1,5,1,3,1,1,1,5,1,3,1,18,3,1,2,18,2,2,2,1,1,1,2,1,1,1,1,1,1,1
19,1,2,1,2,4,3,2,3,1,1,1,2,3,2,1,2,1,3,1,3,4,2,2,3,18,1,2,2,19,2,4,2,4,1,1,1,2.5,2,2.5,1.5,1,2,1
20,1,1,1,1,2,1,1,1,4,1,1,1,4,1,2,1,1,1,1,1,4,1,2,1,19,1,2,2,19,2,25,NA,2,1,1,1,1,1,1,1,1,1,1
21,1,2,1,2,4,1,5,1,1,1,1,1,1,1,4,1,1,1,3,1,3,1,1,1,19,3,2,2,19,2,26,2,2,1,1,2,1.5,1,1,1.5,1,2,1
22,2,1,1,1,3,1,1,2,4,2,1,2,2,1,1,2,1,1,1,1,4,1,2,1,19,1,2,2,19,2,52,2,3,2,1,1,1,1.5,1,1,1.5,1,1.5
23,3,1,1,1,2,1,2,1,2,1,1,1,4,1,3,1,4,1,1,1,4,2,3,1,20,1,1,2,20,1,52,2,2,2,2,1,1,1,1.5,1,1,1,2
24,1,1,1,1,5,1,1,1,4,1,1,1,5,1,3,1,3,1,1,1,5,1,3,1,20,1,2,2,20,2,52,2,2,1,1,1,1,1,1,1,1,1,1
25,3,1,1,3,4,2,3,2,4,1,1,2,4,2,3,2,5,1,1,2,4,2,3,2,20,1,2,2,20,1,520,3,7,1,1,1,2.5,2,2,1,1,1,1
26,4,3,2,4,2,3,2,3,2,1,1,1,3,1,3,1,4,3,3,3,2,3,1,2,18,3,2,2,19,1,104,2,5,4,2,2,3.5,1,3,2.5,1,3,3
27,2,2,1,2,2,2,1,2,1,1,1,2,3,1,2,1,2,1,1,1,4,1,4,1,19,3,2,2,20,2,57,NA,5,1,1,2,2,1.5,1,1.5,1,1,1
28,1,1,1,2,3,2,1,2,1,1,1,1,4,1,3,1,1,1,1,1,4,1,3,1,19,3,2,2,19,2,37,2,5,1,1,2,2,1,1,1,1,1,1
29,3,2,2,3,3,3,2,2,4,2,2,3,4,2,3,2,4,2,1,4,3,2,2,3,22,1,1,2,21,1,20,2,5,4,6,1,3,2.5,3,2,2,1.5,5
30,4,3,2,4,5,3,1,2,4,2,2,4,4,3,1,3,4,4,2,5,3,5,1,5,18,1,1,2,18,1,156,2,6,6,4,1,3.5,3.5,5,2.5,2,3,5
31,3,1,1,2,4,2,NA,2,2,1,1,1,5,2,1,2,2,1,1,1,4,1,1,1,18,1,1,2,18,2,3,2,4,2,2,1,2,1.5,1,1,1,1,2
32,1,1,1,1,1,1,1,1,1,1,1,NA,5,1,4,1,1,1,1,1,1,1,1,1,18,1,1,2,18,2,52,2,5,1,1,1,1,NA,1,1,1,1,1
33,4,3,2,3,2,2,1,1,1,1,1,1,4,1,3,1,4,3,3,3,1,4,1,3,19,3,1,2,18,1,208,2,5,7,7,2,2.5,1,3.5,2.5,1,3,7
34,1,1,1,1,3,1,1,1,1,1,1,1,4,1,3,1,1,1,1,2,4,1,1,1,23,1,1,2,21,2,120,2,5,4,6,1,1,1,1.5,1,1,1,5
35,1,1,4,1,3,1,1,3,1,1,1,1,5,1,3,1,2,1,1,1,5,1,1,1,19,3,2,2,19,2,52,2,6,1,1,2,1,1,1,2.5,1,1,1
36,1,1,1,2,1,1,1,1,2,1,1,2,4,2,2,1,5,5,5,1,1,5,1,5,19,1,1,2,19,2,780,2,3,1,1,1,1.5,2,3,1,1,5,1
37,4,1,1,1,5,1,3,1,2,1,1,1,3,1,2,1,4,1,1,1,5,1,3,1,19,3,2,1,19,2,52,2,6,1,1,2,1,1,1,1,1,1,1
38,1,2,2,1,2,1,1,2,1,1,1,1,4,1,2,1,3,1,1,1,5,1,3,1,19,3,2,2,19,2,56,2,6,1,1,2,1,1,1,2,1,1,1
39,2,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,2,1,1,1,3,1,1,1,20,1,1,2,20,2,150,2,5,3,4,1,1,1,1,1,1,1,3.5
40,2,2,2,4,5,1,2,3,1,1,1,1,4,1,1,3,4,2,1,1,3,5,2,4,20,3,1,2,20,2,150,2,4,4,4,2,2.5,1,3,2,1,1.5,4
41,1,1,1,1,4,1,2,1,2,1,1,1,4,1,2,1,2,1,1,1,5,1,2,1,22,3,1,2,21,2,104,2,5,1,1,2,1,1,1,1,1,1,1
42,1,1,1,1,3,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,20,3,1,2,10,2,1000,2,5,1,5,2,1,1,1,1,1,1,3
43,2,1,1,2,3,2,1,1,2,1,1,1,4,1,1,1,1,1,1,1,3,1,1,1,19,1,1,2,19,2,60,2,6,3,5,1,2,1,1,1,1,1,4
44,3,1,1,3,4,3,2,1,2,1,1,1,4,1,1,1,2,1,1,3,4,3,3,2,20,1,1,3,20,1,60,2,5,1,1,1,3,1,3,1,1,1,1
45,1,1,1,1,3,1,3,1,1,1,1,1,3,1,3,1,1,1,1,1,3,1,2,1,18,1,2,2,18,2,3,2,1,1,1,1,1,1,1,1,1,1,1
46,1,1,1,1,4,1,1,1,1,1,1,1,4,1,3,1,3,1,1,1,4,1,3,1,23,4,1,2,24,2,52,2,5,3,2,2,1,1,1,1,1,1,2.5
47,2,1,1,1,2,1,1,2,1,1,1,1,5,1,3,1,4,3,3,1,1,2,1,2,20,2,2,NA,20,2,104,2,6,4,2,1,1,1,1.5,1,1,3,3
48,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,4,1,1,1,19,1,2,2,18,2,130,2,5,1,1,1,1,1,1,1,1,1,1
49,1,1,1,3,4,1,3,2,1,1,1,3,4,1,3,2,3,1,1,1,4,1,3,1,19,1,1,2,19,2,28,2,2,3,1,1,2,2,1,1,1,1,2
50,1,1,1,2,3,2,3,1,1,1,1,1,3,1,3,1,2,2,1,2,3,2,1,2,18,1,2,2,18,1,156,2,4,3,3,1,2,1,2,1,1,1.5,3
51,3,3,2,4,4,3,2,2,2,1,1,1,5,1,2,1,5,5,3,4,3,3,1,5,18,1,2,2,19,1,3,2,7,7,7,1,3.5,1,3.5,2.5,1,4,7
52,1,1,1,1,3,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,3,1,3,1,20,1,1,2,19,2,312,2,7,4,7,1,1,1,1,1,1,1,5.5
53,2,2,2,1,2,3,1,1,1,1,1,1,3,1,1,1,4,3,3,1,2,3,1,2,19,1,1,2,17,2,884,2,1,1,1,1,2,1,2,2,1,3,1
57,4,2,3,3,2,2,3,2,3,1,1,1,1,1,2,1,2,2,1,3,1,3,1,3,18,1,1,2,18,2,4,2,6,5,6,1,2.5,1,3,2.5,1,1.5,5.5
58,3,2,1,2,4,2,2,2,2,1,1,2,4,1,1,2,4,3,1,3,2,4,2,2,18,1,2,2,18,1,4,2,7,4,5,1,2,1.5,3.5,1.5,1,2,4.5
59,2,2,1,2,3,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,3,2,1,1,18,1,2,2,18,2,208,2,4,2,1,1,1.5,1,1.5,1.5,1,1,1.5
60,1,1,1,1,4,1,3,1,5,1,1,1,2,1,2,1,1,1,1,1,4,1,4,1,18,1,2,2,18,2,208,2,1,1,1,1,1,1,1,1,1,1,1
61,2,2,1,2,3,1,1,1,1,1,1,1,4,1,1,1,4,1,1,2,3,1,1,2,18,1,1,2,18,2,208,2,5,4,4,1,1.5,1,1.5,1.5,1,1,4
62,1,1,1,1,4,1,2,2,2,1,1,2,4,1,2,1,1,1,1,1,4,1,4,1,20,3,2,2,21,2,3,2,4,1,1,2,1,1.5,1,1,1,1,1
63,1,1,1,1,2,1,1,1,1,1,1,1,4,1,2,1,5,1,1,1,3,1,5,1,21,1,1,2,20,2,3,4,1,1,1,1,1,1,1,1,1,1,1
64,1,1,1,1,4,1,1,1,1,1,1,2,4,1,1,1,2,1,1,1,5,1,1,1,18,1,1,3,18,2,3,2,5,1,1,1,1,1.5,1,1,1,1,1
65,3,2,2,3,2,2,1,3,4,1,1,1,4,1,3,1,3,1,1,1,4,1,2,1,19,3,2,2,18,2,156,2,1,1,1,2,2.5,1,1,2,1,1,1
66,5,1,1,1,4,1,4,1,5,1,1,1,4,1,4,1,5,1,1,1,5,1,4,1,24,1,2,2,22,2,52,2,5,1,1,1,1,1,1,1,1,1,1
67,4,1,1,1,5,1,5,1,4,1,1,1,3,1,3,1,2,1,1,1,NA,1,4,1,21,3,2,2,19,1,312,2,5,1,1,2,1,1,1,1,1,1,1
68,4,3,3,4,2,4,1,2,4,1,1,1,5,2,3,2,4,2,2,3,3,3,2,3,20,1,2,2,20,2,58,2,6,4,5,1,4,1.5,3,3,1,2,4.5
69,5,2,1,1,2,1,2,2,5,1,1,1,5,1,5,1,5,1,1,1,5,1,5,1,23,3,2,2,22,1,52,2,6,1,1,2,1,1,1,1.5,1,1,1
70,1,1,1,1,4,1,4,1,1,1,1,1,4,1,4,1,2,1,1,1,4,1,4,1,21,3,2,2,21,2,104,2,4,1,1,2,1,1,1,1,1,1,1
71,2,1,1,2,3,2,3,2,1,2,1,2,3,1,3,2,2,1,1,2,4,1,NA,2,19,1,2,1,20,2,40,2,3,1,1,1,2,1.5,1.5,1,1.5,1,1
72,1,2,1,2,4,2,1,2,1,1,1,1,4,1,2,2,2,1,1,1,4,2,1,1,19,1,2,2,19,2,416,2,3,1,1,1,2,1,1.5,1.5,1,1,1
73,1,1,1,1,4,1,3,1,1,1,1,1,4,1,3,1,1,1,1,1,4,1,3,1,21,1,1,2,21,1,106,2,4,1,1,1,1,1,1,1,1,1,1
74,1,1,1,1,4,1,3,1,2,1,1,1,3,1,3,1,1,1,1,1,4,1,3,1,18,1,2,2,18,2,1,2,4,1,1,1,1,1,1,1,1,1,1
75,1,1,1,1,5,1,5,1,1,1,1,1,5,1,5,1,1,1,1,1,5,1,5,1,21,1,1,2,21,2,2,2,4,4,4,1,1,1,1,1,1,1,4
76,1,2,2,4,5,2,1,2,1,1,1,1,5,1,2,1,3,2,1,3,5,2,4,2,20,1,2,2,20,2,13,2,7,4,4,1,3,1,2.5,2,1,1.5,4
77,2,2,1,1,2,1,4,1,4,1,1,1,4,1,5,1,3,1,1,2,4,1,3,1,22,1,1,2,21,2,52,2,7,4,4,1,1,1,1.5,1.5,1,1,4
78,2,1,1,1,5,2,3,1,1,1,1,1,4,1,5,11,2,1,1,1,4,2,2,2,21,1,2,2,21,1,728,2,2,2,1,1,1.5,1,1.5,1,1,1,1.5
79,3,3,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,5,1,3,2,19,3,1,2,21,2,364,2,5,1,1,2,1,1,1,2,1,1,1
